year,t1,t2,d1,d2,fare,time
2015,10,12,15,18,52.2231398846,2346.286231
2015,10,12,18,21,53.8500534586,2700.32494536
2015,10,12,21,24,56.3924858393,3042.3784758
2015,10,12,24,50,84.173090743,3910.10109622
2015,12,17,0,3,8.54377948509,665.649296175
2015,12,17,3,6,17.3120181744,1384.90733253
2015,12,17,6,9,25.6485318803,1697.44585776
2015,12,17,9,12,33.1467474784,2011.55909957
2015,12,17,12,15,42.9244872656,2472.09472896
2015,12,17,15,18,52.3545834183,2868.01491991
2015,12,17,18,21,53.7543944935,3190.88448349
2015,12,17,21,24,55.8581606218,3546.95339872
2015,12,17,24,50,83.9762811557,4006.76480394
2015,17,20,0,3,8.41257641047,663.086799815
2015,17,20,3,6,17.1602474815,1338.40985051
2015,17,20,6,9,25.2359372126,1645.77321613
2015,17,20,9,12,32.4419902684,1890.05429904
2015,17,20,12,15,41.448164557,2293.20536412
2015,17,20,15,18,51.1874105563,2617.44048644
2015,17,20,18,21,52.9301915396,2917.95794696
2015,17,20,21,24,56.0774608087,3207.9156967
2015,17,20,24,50,85.872439401,3562.05666203
2015,20,22,0,3,8.25265646276,622.847680217
2015,20,22,3,6,16.4030187919,1217.83411355
2015,20,22,6,9,24.7529247359,1549.78378205
2015,20,22,9,12,31.7643645138,1713.02607565
2015,20,22,12,15,40.1794789423,2042.55520668
2015,20,22,15,18,49.9612172964,2242.064228
2015,20,22,18,21,52.594616096,2498.64952407
2015,20,22,21,24,56.620221494,2813.84156402
2015,20,22,24,50,86.6812720764,3165.3202864
2015,22,24,0,3,8.22185926344,619.001101323
2015,22,24,3,6,16.5306055385,1218.10874013
2015,22,24,6,9,24.8787627699,1564.46248196
2015,22,24,9,12,31.8291659317,1709.47882355
2015,22,24,12,15,40.0174448071,2011.1242561
2015,22,24,15,18,49.4003438702,1981.78963519
2015,22,24,18,21,52.5792766043,2202.90815143
2015,22,24,21,24,57.8952591269,2499.68675006
2015,22,24,24,50,90.501529052,3053.48267074
